Index,Orbital Period,Transition Duration,Transition Depth,Planet Rad,Planet Eqbm Temp,Stellar Effective Temp,Stellar log g,Stellar Rad,ra,dec,Output,Unnamed: 12,Unnamed: 13
17668,4.4184429,3.2423132,12333.39146,12.8324877,1221.589734,6166.0,4.41,1.11999,82.250858,68.481405,1,,
17669,4.2605739,2.5821706,20069.26663,15.3220568,1110.450411,5457.0,4.35,1.0759,60.362935,49.265249,1,,
17670,2.2842184,1.07,8675.0,10.544,898.0,4930.6,4.33,1.23434,49.102399,58.287744,1,,
17671,3.8901335,4.0827715,6927.678359,19.0494736,1862.711381,6530.0,3.87,2.2370601,76.092396,44.334107,1,,
17672,1.3944879,1.8149062,12737.54703,18.0998636,1530.921245,5483.9,4.45,0.965059,72.247199,44.419431,1,,
17673,4.3701795,3.7808822,15001.36322,15.4523265,1344.668918,6647.1,4.4,1.23067,76.825224,59.729551,1,,
17674,4.9107194,4.445,8240.0,14.9335,1499.0,6302.0,4.09,1.66,75.952392,31.657874,1,,
17675,7.27299,4.323,13820.0,13.3662,1018.0,5400.0,4.3,1.13,46.155455,59.356926,1,,
17676,3.2509846,2.2931885,10852.36921,10.544,1183.014,5800.55,4.33,1.23434,67.795335,59.159564,1,,
17677,3.4813814,2.2906804,5175.983697,6.5778157,1080.802712,5389.0,4.49,0.910221,8.923918,-50.316967,1,,
17678,2.4802272,3.51,8420.0,15.7506,1863.0,6267.0,4.06,1.72,90.808637,41.649461,1,,
17679,3.0108217,1.723,8840.0,18.2459,1133.0,5983.0,3.93,1.89,77.163736,66.52611,1,,
17680,1.5224706,1.3423331,8545.454271,7.53174,1279.460207,4654.3,4.33,0.8,89.243696,36.358115,1,,
17681,10.4401778,2.783,14120.0,11.2253,639.0,4571.1,4.4,0.89,67.998759,32.869383,1,,
17682,2.4713543,2.3649813,8215.114334,21.0203111,1669.757378,6351.8,4.33,2.0498199,88.890851,39.126519,1,,
17683,6.0985856,6.711,29180.0,10.544,1308.0,4740.0,4.33,1.23434,68.005803,36.012476,1,,
17684,4.230596,4.263,3770.0,12.1709,1661.0,6455.1,3.94,2.02,65.713648,41.125315,1,,
17685,1.2222265,1.5952613,7777.450442,13.3612412,2250.09303,6629.1,4.24,1.47816,63.286661,54.572095,1,,
17686,4.7378265,1.7442136,3331.699976,20.9386989,1896.714755,6533.0,3.72,2.6408801,60.696633,39.041323,1,,
17687,3.5411235,3.0771407,8736.222973,10.2150358,1141.468597,5151.0,4.3,1.09532,80.611594,40.425991,1,,
17688,1.0788649,1.9801943,32197.09162,18.4561494,1777.132183,4920.0,4.33,1.31,50.324844,63.732522,1,,
17689,3.9442027,3.269,13590.0,14.6517,1453.0,6518.1,4.39,1.22,82.215093,30.227473,1,,
17690,4.088722,6.092,8780.0,13.5121,1348.0,6523.0,4.28,1.39,80.425878,36.274635,1,,
17691,4.8404431,2.6166045,27037.37712,17.700332,1115.989392,5925.1,4.43,1.04742,77.298277,38.228572,1,,
17692,13.3988634,4.3926223,6620.088253,12.8019377,993.9098444,6475.0,4.23,1.46637,84.479701,64.545457,1,,
17693,8.1744382,2.6721445,22628.9295,10.544,904.8073455,5051.3,4.33,1.23434,86.594255,59.521666,1,,
17694,2.5404529,4.8434159,15551.17938,10.544,1614.360663,4837.0,4.33,1.23434,64.230918,36.924112,1,,
17695,2.9594651,3.84,2460.0,17.5182,2886.0,6633.2,3.84,2.35,84.613821,57.031425,1,,
17696,2.141186,2.7636092,10052.75159,10.544,1443.860366,4880.9,4.33,1.23434,79.285641,53.723458,1,,
17697,3.3526843,3.9579058,11429.07389,11.1102207,1284.424838,6245.0,4.51,1.0157599,55.590143,58.295332,1,,
17698,2.2091186,3.2100502,11835.25426,20.0456418,2086.881785,6876.0,4.1,1.79471,79.703512,43.815936,1,,
17699,5.5609997,4.204,9170.0,15.2954,1264.0,5863.0,4.07,1.58,72.427173,35.301657,1,,
17700,4.3847594,4.7104727,8783.853225,17.2316994,1629.542016,6806.6,4.12,1.75577,88.985589,34.265809,1,,
17701,3.4471559,3.7435577,9497.755639,16.6194574,1609.468726,6083.0,4.05,1.67828,86.635927,51.242599,1,,
17702,5.4820954,4.4375744,8403.067642,13.3111519,1154.179857,5719.0,4.23,1.28194,358.227453,-41.700468,1,,
17703,2.0449545,2.763,36060.0,18.9624,1400.0,5086.8,4.33,0.97,81.578251,47.07378,1,,
17704,2.1186344,2.553,4200.0,10.544,1092.0,3898.0,4.33,1.23434,58.490945,58.748105,1,,
17705,3.9010509,4.2743803,3017.555529,15.3760904,2008.85672,6257.0,3.65,2.7449501,60.273843,67.507635,1,,
17706,1.6883103,2.674,7400.0,7.5805,1543.0,4830.0,4.42,0.9,65.615413,46.536011,1,,
17707,1.5503072,2.3242495,4601.821312,15.625642,2689.326,7747.0,4.1,1.98568,58.983683,57.834123,1,,
17708,2.3753009,1.502194,9683.886557,14.7510708,1684.991147,6087.0,4.18,1.43317,51.761032,61.189331,1,,
17709,1.8751894,2.798,9200.0,14.0349,1641.0,5410.0,4.06,1.5,68.539495,32.806951,1,,
17710,9.4546478,10.2947735,1354.926151,12.7656513,908.9128651,5001.6,4.33,3.2739301,47.149903,-77.383328,1,,
17711,12.4844641,2.827,17130.0,8.49489,463.0,3815.0,4.63,0.63,76.423773,67.820318,1,,
17712,2.9157041,3.375,12630.0,13.8344,1692.0,6400.6,4.39,1.2,68.629023,32.476637,1,,
17713,2.8054221,3.6911464,7470.286504,10.544,1292.337712,4879.0,4.33,1.23434,46.811835,64.395362,1,,
17714,2.5312823,4.428,1320.0,11.7709,2724.0,6170.0,3.56,2.98,46.934208,62.39968,1,,
17715,3.4177514,3.415,10160.0,15.3577,1450.0,5868.0,4.1,1.52,41.323613,69.106259,1,,
17716,2.7509863,1.998979,10686.89652,12.6685799,1255.738299,5317.0,4.34,1.0711401,354.44576,-42.966387,1,,
17717,25.8944827,2.136,27610.0,17.6301,357.0,4375.0,4.53,0.74,48.669955,66.920775,1,,
17718,0.6843601,0.762,720.0,6.83269,1873.0,6779.0,3.93,2.17,70.325641,55.933254,1,,
17719,2.0042661,3.2004171,8701.890506,17.4679856,2259.988396,7284.0,4.14,1.8149,57.947685,47.149894,1,,
17720,6.5718534,2.4724722,8510.368053,17.2374292,893.7491602,4773.0,4.33,1.89337,48.791209,66.597657,1,,
17721,3.1479532,3.3502554,10550.59088,17.745577,1849.53488,7298.0,4.23,1.63943,57.511805,46.681042,1,,
17722,3.5414573,2.83,5930.0,7.74182,1190.0,5244.0,4.4,0.99,70.242045,57.507726,1,,
17723,2.3907751,4.1827898,10809.34256,21.8606641,1861.152862,5382.0,3.76,2.0989001,69.488129,52.71623,1,,
17724,2.1803154,2.6629308,8016.026387,18.3770154,2274.958402,7166.0,4.04,1.9933,83.379462,45.081717,1,,
17725,10.3380912,3.972,6750.0,14.0125,1024.0,6650.0,4.12,1.7,54.82405,52.824649,1,,
17726,0.9183768,1.009,6480.0,7.7093,1412.0,5176.0,4.47,0.9,66.381511,57.806118,1,,
17727,3.6238662,2.723108,11798.11143,16.4563404,1534.660709,6717.3,4.3,1.39527,82.560259,31.181746,1,,
17728,4.1689145,2.1905198,7081.420152,7.3156426,961.3875339,5119.0,4.49,0.874119,86.04348,36.080653,1,,
17729,2.9508097,2.1699793,8878.203099,19.4435142,1659.73536,5823.8,3.99,1.70744,61.496952,51.724323,1,,
17730,1.5970752,1.313,15510.0,10.544,1183.014,5800.55,4.33,1.23434,95.160582,43.165306,1,,
17731,5.3868381,3.225,18740.0,15.8461,1113.0,5915.0,4.37,1.13,107.082369,34.674445,1,,
17732,2.3365744,2.53,4580.0,9.51324,1738.0,6545.0,4.27,1.41,126.818692,50.75782,1,,
17733,5.6089886,2.7514799,7494.882016,8.1185589,926.0791782,5353.3,4.47,0.927391,116.767003,56.783436,1,,
17734,1.6180578,1.8204969,17254.79809,10.544,1552.544592,5800.55,4.33,1.23434,104.733224,49.968735,1,,
17735,1.4005308,2.1755276,21518.39691,15.9952422,1665.094898,5765.0,4.4,1.06059,92.609716,71.412134,1,,
17736,6.1080224,4.68,7840.0,12.8902,1345.0,6204.0,4.17,1.48,133.705669,55.134127,1,,
17737,4.9386676,3.2881257,4880.254978,21.2842391,1817.374889,5646.0,3.48,3.0218699,92.846314,65.762376,1,,
17738,4.8163162,3.5830779,15809.06768,14.751756,1087.351204,5290.0,4.26,1.1743,133.072602,61.972124,1,,
17739,3.0923729,3.061,7200.0,15.1739,1763.0,6510.2,4.07,1.76,94.432577,54.381306,1,,
17740,4.120004,1.9086349,13334.26514,10.4236143,1034.515125,5497.6,4.51,0.902842,115.084361,49.078607,1,,
17741,3.1833919,2.017,9850.0,13.8362,1269.0,6405.0,4.27,1.39,295.387706,56.217805,1,,
17742,3.2551315,2.3440735,14394.40554,17.8868067,1512.688356,6433.0,4.3,1.3329901,118.16493,42.786497,1,,
17743,17.6229161,2.976,8430.0,11.2819,614.0,5973.8,4.31,1.21,104.840901,48.30288,1,,
17744,2.6797436,2.0292672,9857.923383,12.2250402,1316.533871,5573.0,4.37,1.07552,124.114906,47.021989,1,,
17745,0.5045539,1.0056629,18806.22992,18.3768141,2289.494269,5227.0,4.33,1.0,23.280585,-47.882084,1,,
17746,1.6667559,2.35,1730.0,5.73913,2211.0,7189.4,4.35,1.4,103.276084,39.132278,1,,
17747,5.8677921,3.400512,14083.52424,12.8354727,997.224075,5565.6,4.39,1.04333,114.010809,47.258131,1,,
17748,1.4658218,1.294,8700.0,12.9122,1311.0,5586.0,4.17,1.36,98.781576,45.027682,1,,
17749,2.5492773,2.301,3970.0,13.2377,1647.0,6862.4,3.98,2.07,107.173813,38.18106,1,,
17750,3.2905683,2.7899266,18079.62264,14.6087971,1240.883585,5689.0,4.39,1.06203,134.655352,74.459183,1,,
17751,3.8960447,2.15,13340.0,12.1478,976.0,5295.0,4.38,1.02,94.899684,42.313594,1,,
17752,3.6346303,2.728,25220.0,13.6402,1067.0,5058.0,4.51,0.85,100.288738,48.861378,1,,
17753,2.9594596,0.706,2140.0,7.75397,868.0,5560.0,4.28,1.19,95.549232,83.861194,1,,
17754,3.8850001,2.8815405,18102.2024,12.1627174,1031.973907,5382.2,4.51,0.89315,112.194386,34.185355,1,,
17755,3.7178656,3.2262534,11274.59591,13.6754452,1372.119524,6268.0,4.34,1.23586,118.060044,31.64694,1,,
17756,4.9513106,4.1704262,8623.700153,14.0040077,1294.560054,5914.0,4.16,1.43625,139.838463,66.803273,1,,
17757,4.8709815,4.437,12380.0,21.2108,1385.0,5908.0,3.92,1.87,109.358531,49.840082,1,,
17758,1.0358225,1.191,6610.0,10.1292,1819.0,6180.0,4.4,1.14,128.861632,67.128369,1,,
17759,4.8504819,4.9957058,6852.335047,17.4413086,1628.04902,6313.0,3.9,2.05899,107.504711,70.976379,1,,
17760,3.2371501,3.3511315,10146.68371,13.8548638,1428.789463,5800.1,4.19,1.35302,121.591887,42.19247,1,,
17761,5.4290781,3.1018506,7391.608477,24.5471729,1505.549191,6403.0,4.01,1.86967,115.641632,28.807132,1,,
17762,2.5972551,2.7403458,9907.481427,23.7348191,2181.384263,7054.0,3.98,2.1075301,105.868408,60.852551,1,,
17763,3.1235179,2.7145235,15459.80276,13.2914966,1199.641331,5376.0,4.37,1.04447,104.603337,59.972981,1,,
17764,19.5105608,4.471,3300.0,10.544,1183.014,5800.55,4.33,1.23434,150.892504,67.990037,1,,
17765,2.9150294,2.819,13530.0,12.8379,1293.0,5385.0,4.33,1.08,137.421232,31.292423,1,,
17766,3.2493152,1.849,9260.0,10.3587,1011.0,5371.2,4.37,1.04,167.29495,49.955757,1,,
17767,1.7088305,1.871,9720.0,10.544,1358.0,5253.2,4.33,1.23434,146.820422,44.63893,1,,
17768,24.0819851,4.032,7830.0,9.42632,609.0,5952.0,4.43,1.05,177.702227,75.20337,1,,
17769,3.3952015,2.368,8260.0,10.544,1180.0,5673.6,4.33,1.23434,179.9069,72.301518,1,,
17770,1.3460633,1.829,15780.0,14.2662,1650.0,5788.7,4.38,1.09,144.395927,28.24536,1,,
17771,2.5733766,2.457,6710.0,10.544,1183.014,5800.55,4.33,1.23434,166.238945,43.464381,1,,
17772,3.0193545,1.345,2360.0,14.357,1657.0,6341.0,4.23,1.42,201.510769,74.758859,1,,
17773,3.6217624,2.963,6140.0,10.1723,1313.0,5788.0,4.24,1.28,151.293494,60.352093,1,,
