Index,Output,Orbital Period,Transition Duration,Transition Depth,Planet Rad,Planet Eqbm Temp,Stellar Effective Temp,Stellar log g,Stellar Rad,ra,dec,,,,,
105,1,20.50588921,4.0595,2110.00,3.41,518,4905,4.544,0.761,289.31543,39.153278,,,,,
106,1,3.340218842,1.9104,1630.00,2.03,656,3950,4.754,0.493,286.07913,39.27832,,,,,
107,0,2.507089906,2.0067,1340.00,30.26,1326,5926,4.506,0.939,295.37805,40.493401,,,,,
108,1,18.64932728,4.4056,894.00,3.12,701,5775,4.405,1.053,290.46176,40.562462,,,,,
109,1,4.90144976,4.1654,141.00,1.7,1262,5847,4.191,1.402,297.02826,48.208611,,,,,
110,1,9.75192101,4.793,418.00,2.76,870,5775,4.405,1.053,290.46176,40.562462,,,,,
111,1,38.5576546,5.794,993.00,4.02,550,5775,4.405,1.053,290.46176,40.562462,,,,,
112,1,3.525632539,2.59959,22300.00,11.58,975,5150,4.572,0.793,290.58173,40.5774,,,,,
113,1,34.84398644,2.9315,4520.00,7.61,511,5509,4.482,0.871,285.92001,39.624828,,,,,
114,1,7.748094239,3.5957,2470.00,5.52,964,5973,4.439,1.085,294.4899,39.771439,,,,,
115,1,23.96793669,3.827,1180.00,1.8,329,3747,4.728,0.524,283.86639,39.898079,,,,,
116,1,8.29561738,1.3421,824.00,1.82,469,3747,4.728,0.524,283.86639,39.898079,,,,,
117,1,8.11437482,2.2736,1560.00,2.1,460,3692,4.753,0.517,288.81201,40.033401,,,,,
118,0,38.03672948,4.34617,82900.00,27.5,500,5575,4.521,0.932,294.14789,40.055538,,,,,
119,1,4.64090031,35.512,2450.00,30.09,1155,6463,4.5,0.826,295.11371,40.071171,,,,,
120,0,3.747838198,5.0642,616.00,13.65,1031,5514,4.569,0.826,291.06152,50.265129,,,,,
121,1,14.74914825,6.0995,430.00,2.89,874,5847,4.191,1.402,297.02826,48.208611,,,,,
122,1,21.81295996,4.3791,1180.00,3.38,639,5601,4.41,0.999,294.77686,40.15374,,,,,
123,0,7.91936937,3.3148,15100.00,10.34,814,5690,4.588,0.776,283.53845,40.217999,,,,,
124,1,1.028436523,1.8606,8100.00,72.77,1947,6228,4.428,0.99,296.00699,40.295429,,,,,
125,1,15.37562369,3.3169,15300.00,11.01,600,4986,4.496,0.833,283.25354,40.358189,,,,,
126,1,8.10363271,3.161,888.00,2.11,687,4861,4.574,0.732,283.22141,40.421829,,,,,
127,1,4.71510843,2.506,418.00,1.46,823,4861,4.574,0.732,283.22141,40.421829,,,,,
128,1,6.365839713,2.9721,781.00,2.44,914,5776,4.554,0.849,291.14951,40.420521,,,,,
129,0,5.97581754,3.065,962.00,3.86,1047,6108,4.471,0.997,294.22397,40.417858,,,,,
130,0,2.446737317,4.7211,1180.00,26.25,1261,5764,4.548,0.863,298.96112,40.862808,,,,,
131,1,3.04033046,1.8411,10900.00,8.99,1021,5035,4.519,0.791,299.3161,40.82238,,,,,
132,1,15.33528675,3.897,3080.00,5,610,5251,4.581,0.817,292.23676,41.08588,,,,,
133,1,7.95825328,4.377,50.00,1.06,1074,5847,4.191,1.402,297.02826,48.208611,,,,,
134,1,31.33046135,5.176,5070.00,6.5,481,5251,4.581,0.817,292.23676,41.08588,,,,,
135,0,3.9043425,3.831,16200.00,12.28,1104,5810,4.526,0.898,294.05676,40.549679,,,,,
136,0,9.286358079,3.49949,44800.00,17.61,796,5670,4.523,0.821,294.74396,40.53392,,,,,
137,0,3.951405455,2.1862,2450.00,31.44,1133,6046,4.539,0.869,295.50439,40.505489,,,,,
138,1,23.65369415,8.2183,3340.00,7.89,731,5739,4.191,1.384,287.89713,40.637821,,,,,
139,1,13.23352214,6.7372,505.00,3.06,888,5739,4.191,1.384,287.89713,40.637821,,,,,
140,1,6.15560285,4.9843,285.00,2.32,1146,5739,4.191,1.384,287.89713,40.637821,,,,,
141,1,2.090811305,3.388,116.00,1.62,1642,5739,4.191,1.384,287.89713,40.637821,,,,,
142,1,3.180027898,3.5797,120.00,1.53,1458,5847,4.191,1.402,297.02826,48.208611,,,,,
143,1,50.4467417,7.159,370.00,2.67,568,5739,4.191,1.384,287.89713,40.637821,,,,,
144,1,11.76307164,2.9076,1040.00,2.35,616,4959,4.603,0.756,294.20215,40.66341,,,,,
145,1,56.2279271,3.57,863.00,2.37,366,4959,4.603,0.756,294.20215,40.66341,,,,,
